Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles
Eastern Sierra Transit Authority,Bishop,CA,9R02-098,9R02-91062,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  44 ,MB,DO,26,,0,,  17.82 ,,  -   ,,  27.26 ,, 0 ,, 0 ,,656963,, 0 ,, 0 ,,36873,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1005122,, 0 ,,0.0
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,9092,90092,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 133,683 ",  43 ,DR,PT,9,,0,,  16.51 ,,  9.64 ,,  1.82 ,, 0 ,," 246,708 ",,229706,," 17,002 ",," 14,733 ",,13914,, 819 ,, 0 ,, 0 ,, 0 ,, 0 ,,25324,," 244,149 ",,0.0
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,9092,90092,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 133,683 ",  43 ,CB,PT,17,,0,,  32.82 ,,  19.03 ,,  12.80 ,," 1,010,171 ",," 1,107,757 ",,1009226,," 98,531 ",," 34,391 ",,30748,," 3,643 ",, 0 ,, 0 ,, 0 ,, 0 ,,393719,," 7,492,473 ",,222.9
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,9092,90092,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 133,683 ",  43 ,MB,PT,17,,0,,  13.40 ,,  2.26 ,,  10.94 ,," 699,520 ",," 726,023 ",,698527,," 27,496 ",," 53,741 ",,52119,," 1,622 ",, 0 ,, 0 ,, 0 ,, 0 ,,570239,," 1,288,740 ",,96.4
Solano County Transit,Vallejo,CA,9232,90232,Independent Public Agency or Authority of Transit Service,Full Reporter," 165,074 ",  41 ,MB,PT,21,,0,,  10.79 ,,  2.82 ,,  11.49 ,," 642,639 ",," 746,798 ",,640186,," 106,612 ",," 63,816 ",,59321,," 4,495 ",, 0 ,, 0 ,, 0 ,, 0 ,,681420,," 1,921,459 ",,122.4
Napa Valley Transportation Authority,Napa,CA,9088,90088,Independent Public Agency or Authority of Transit Service,Full Reporter," 83,913 ",  41 ,MB,PT,24,,0,,  15.92 ,,  7.20 ,,  13.28 ,," 1,086,142 ",," 1,126,619 ",,1081022,," 45,597 ",," 83,954 ",,67905,," 16,049 ",, 0 ,, 0 ,, 0 ,, 0 ,,902000,," 6,494,400 ",,160.4
Solano County Transit,Vallejo,CA,9232,90232,Independent Public Agency or Authority of Transit Service,Full Reporter," 165,074 ",  41 ,DR,PT,8,,0,,  10.28 ,,  4.75 ,,  2.13 ,, 0 ,," 178,810 ",,142768,," 36,042 ",," 18,016 ",,13887,," 4,129 ",, 0 ,, 0 ,, 0 ,, 0 ,,29527,," 140,199 ",,0.0
Napa Valley Transportation Authority,Napa,CA,9088,90088,Independent Public Agency or Authority of Transit Service,Full Reporter," 83,913 ",  41 ,DR,PT,10,,0,,  8.64 ,,  7.10 ,,  3.56 ,, 0 ,," 299,709 ",,241589,," 58,120 ",," 32,864 ",,27974,," 4,890 ",, 0 ,, 0 ,, 0 ,, 0 ,,99575,," 706,983 ",,0.0
Solano County Transit,Vallejo,CA,9232,90232,Independent Public Agency or Authority of Transit Service,Full Reporter," 165,074 ",  41 ,CB,PT,12,,0,,  23.02 ,,  13.79 ,,  16.34 ,," 956,301 ",," 970,659 ",,938329,," 32,330 ",," 43,011 ",,40769,," 2,242 ",, 0 ,, 0 ,, 0 ,, 0 ,,666340,," 9,186,794 ",,162.0
Napa Valley Transportation Authority,Napa,CA,9088,90088,Independent Public Agency or Authority of Transit Service,Full Reporter," 83,913 ",  41 ,CB,PT,7,,0,,  27.56 ,,  31.43 ,,  6.79 ,," 398,617 ",," 431,299 ",,398454,," 32,845 ",," 19,081 ",,14460,," 4,621 ",, 0 ,, 0 ,, 0 ,, 0 ,,98202,," 3,086,955 ",,180.0
"City of Visalia  , dba: Visalia Transit",Visalia,CA,9091,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 219,454 ",  39 ,DR,PT,8,,0,,  13.27 ,,  7.12 ,,  2.94 ,, 0 ,," 197,267 ",,176746,," 20,521 ",," 14,401 ",,13322,," 1,079 ",, 0 ,, 0 ,, 0 ,, 0 ,,39109,," 278,541 ",,0.0
"City of Visalia  , dba: Visalia Transit",Visalia,CA,9091,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 219,454 ",  39 ,CB,PT,3,,0,,  37.69 ,,  44.89 ,,  4.36 ,," 234,206 ",," 232,895 ",,231064,," 1,831 ",," 6,552 ",,6131,, 421 ,, 0 ,, 0 ,, 0 ,, 0 ,,26740,," 1,200,361 ",,108.0
"City of Visalia  , dba: Visalia Transit",Visalia,CA,9091,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 219,454 ",  39 ,MB,PT,28,,0,,  13.89 ,,  6.10 ,,  10.92 ,," 1,816,650 ",," 1,864,655 ",,1793627,," 71,028 ",," 133,859 ",,129125,," 4,734 ",, 0 ,, 0 ,, 0 ,, 0 ,,1410244,," 8,598,378 ",,460.0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,9196,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,723,634 ",  38 ,MB,PT,1,,0,,  16.61 ,,  3.31 ,,  1.92 ,," 64,150 ",," 70,302 ",,67226,," 3,076 ",," 4,203 ",,4047,, 156 ,, 0 ,, 0 ,, 0 ,, 0 ,,7780,," 25,746 ",,27.0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,9196,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,723,634 ",  38 ,DR,DO,1,,0,,  28.47 ,,  12.51 ,,  2.28 ,, 0 ,," 6,392 ",,2790,," 3,602 ",, 223 ,,98,, 125 ,, 0 ,, 0 ,, 0 ,, 0 ,,223,," 2,790 ",,0.0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,9196,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,723,634 ",  38 ,MB,DO,16,,0,,  20.50 ,,  7.59 ,,  9.54 ,," 1,431,948 ",," 1,538,530 ",,1390571,," 147,959 ",," 71,494 ",,67818,," 3,676 ",, 0 ,, 0 ,, 0 ,, 0 ,,646825,," 4,911,155 ",,328.0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,9196,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,723,634 ",  38 ,CB,PT,4,,0,,  33.36 ,,  26.56 ,,  25.26 ,," 101,279 ",," 177,013 ",,101279,," 75,734 ",," 4,951 ",,3036,," 1,915 ",, 0 ,, 0 ,, 0 ,, 0 ,,76700,," 2,036,953 ",,111.0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,9196,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,723,634 ",  38 ,VP,PT,9,,0,,  44.03 ,,  33.91 ,,  4.69 ,, 0 ,," 211,609 ",,211609,, 0 ,," 4,806 ",,4806,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,22520,," 763,653 ",,0.0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,9196,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,723,634 ",  38 ,DR,PT,7,,0,,  8.46 ,,  3.96 ,,  1.94 ,, 0 ,," 175,615 ",,136433,," 39,182 ",," 18,401 ",,16127,," 2,274 ",, 0 ,, 0 ,, 0 ,, 0 ,,31300,," 123,848 ",,0.0
Pomona Valley Transportation Authority,La Verne,CA,,99425,Independent Public Agency or Authority of Transit Service,Full Reporter," 12,150,996 ",  37 ,DT,PT,18,,0,,  21.56 ,,  5.10 ,,  4.98 ,, 0 ,, 0 ,,326651,, 0 ,, 0 ,,15150,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,75408,," 384,326 ",,0.0
Pomona Valley Transportation Authority,La Verne,CA,,99425,Independent Public Agency or Authority of Transit Service,Full Reporter," 12,150,996 ",  37 ,DR,PT,19,,0,,  11.09 ,,  4.94 ,,  3.75 ,, 0 ,," 310,634 ",,263655,," 46,979 ",," 26,669 ",,23779,," 2,890 ",, 0 ,, 0 ,, 0 ,, 0 ,,89074,," 439,946 ",,0.0
City of Santa Rosa,Santa Rosa,CA,9017,90017,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 308,231 ",  36 ,MB,DO,24,,0,,  10.80 ,,  3.94 ,,  20.40 ,," 941,098 ",," 961,313 ",,933894,," 27,419 ",," 88,951 ",,86438,," 2,513 ",, 0 ,, 0 ,, 0 ,, 0 ,,1763505,," 6,948,210 ",,148.0
City of Santa Rosa,Santa Rosa,CA,9017,90017,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 308,231 ",  36 ,DR,PT,10,,0,,  12.28 ,,  6.46 ,,  2.44 ,, 0 ,," 221,791 ",,200624,," 21,167 ",," 17,589 ",,16335,," 1,254 ",, 0 ,, 0 ,, 0 ,, 0 ,,39814,," 257,302 ",,0.0
City of Santa Rosa,Santa Rosa,CA,9017,90017,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 308,231 ",  36 ,MB,PT,2,,0,,  7.37 ,,  2.88 ,,  2.28 ,," 27,640 ",," 35,554 ",,27059,," 8,495 ",," 4,008 ",,3670,, 338 ,, 0 ,, 0 ,, 0 ,, 0 ,,8369,," 24,103 ",,22.0
"University of California, Davis, dba: Unitrans",Davis,CA,9142,90142,University,Full Reporter," 72,794 ",  35 ,MB,DO,35,,0,,  10.54 ,,  2.16 ,,  50.75 ,," 838,120 ",," 873,074 ",,835743,," 37,331 ",," 83,001 ",,79258,," 3,743 ",, 0 ,, 0 ,, 0 ,, 0 ,,4021956,," 8,674,173 ",,80.1
Yuba-Sutter Transit Authority,Marysville,CA,9061,90061,Independent Public Agency or Authority of Transit Service,Full Reporter," 116,719 ",  34 ,DR,PT,10,,0,,  12.80 ,,  5.88 ,,  2.85 ,, 0 ,," 366,590 ",,323378,," 43,212 ",," 27,730 ",,25267,," 2,463 ",, 0 ,, 0 ,, 0 ,, 0 ,,72073,," 423,925 ",,0.0
Altamont Corridor Express,Stockton,CA,9182,90182,Independent Public Agency or Authority of Transit Service,Full Reporter," 370,583 ",  34 ,CR,PT,34,,8,,  39.07 ,,  43.89 ,,  49.57 ,," 1,146,319 ",," 1,146,319 ",,1102574,," 43,745 ",," 34,731 ",,28219,," 6,512 ",," 176,749 ",," 169,678 ",," 5,376 ",," 4,380 ",,1398954,," 61,400,684 ",,172.0
Yuba-Sutter Transit Authority,Marysville,CA,9061,90061,Independent Public Agency or Authority of Transit Service,Full Reporter," 116,719 ",  34 ,CB,PT,10,,0,,  36.46 ,,  39.33 ,,  15.19 ,," 331,825 ",," 490,921 ",,318479,," 172,442 ",," 13,817 ",,8734,," 5,083 ",, 0 ,, 0 ,, 0 ,, 0 ,,132626,," 5,216,574 ",,139.5
El Dorado County Transit Authority,Diamond Springs,CA,9229,90229,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,723,634 ",  34 ,DR,DO,15,,0,,  19.69 ,,  11.03 ,,  2.88 ,, 0 ,," 437,825 ",,332161,," 105,664 ",," 21,630 ",,16869,," 4,761 ",, 0 ,, 0 ,, 0 ,, 0 ,,48659,," 536,601 ",,0.0
City of Glendale,Glendale,CA,,99423,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 12,150,996 ",  34 ,MB,PT,28,,0,,  8.95 ,,  2.19 ,,  18.72 ,," 719,601 ",," 761,251 ",,719209,," 42,042 ",," 82,778 ",,80357,," 2,421 ",, 0 ,, 0 ,, 0 ,, 0 ,,1504383,," 3,300,627 ",,81.0
El Dorado County Transit Authority,Diamond Springs,CA,9229,90229,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,723,634 ",  34 ,MB,DO,7,,0,,  18.62 ,,  9.80 ,,  6.07 ,," 548,783 ",," 593,824 ",,544447,," 49,377 ",," 38,124 ",,29234,," 8,890 ",, 0 ,, 0 ,, 0 ,, 0 ,,177436,," 1,739,527 ",,41.0
Yuba-Sutter Transit Authority,Marysville,CA,9061,90061,Independent Public Agency or Authority of Transit Service,Full Reporter," 116,719 ",  34 ,MB,PT,14,,0,,  11.78 ,,  3.00 ,,  16.50 ,," 545,636 ",," 620,586 ",,583656,," 36,930 ",," 51,965 ",,49564,," 2,401 ",, 0 ,, 0 ,, 0 ,, 0 ,,817937,," 2,452,542 ",,82.2
El Dorado County Transit Authority,Diamond Springs,CA,9229,90229,Independent Public Agency or Authority of Transit Service,Full Reporter," 1,723,634 ",  34 ,CB,DO,12,,0,,  30.69 ,,  31.00 ,,  16.32 ,," 336,049 ",," 423,828 ",,274399,," 149,429 ",," 16,029 ",,8941,," 7,088 ",, 0 ,, 0 ,, 0 ,, 0 ,,145949,," 4,524,872 ",,110.0
City of Glendale,Glendale,CA,,99423,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 12,150,996 ",  34 ,DR,PT,6,,0,,  12.72 ,,  5.62 ,,  4.18 ,, 0 ,," 183,626 ",,137434,," 46,192 ",," 12,920 ",,10802,," 2,118 ",, 0 ,, 0 ,, 0 ,, 0 ,,45144,," 253,741 ",,0.0
City of Pasadena,Pasadena,CA,,99424,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 12,150,996 ",  31 ,DR,PT,12,,0,,  10.10 ,,  3.77 ,,  3.48 ,, 0 ,," 263,560 ",,233097,," 30,463 ",," 25,291 ",,23073,," 2,218 ",, 0 ,, 0 ,, 0 ,, 0 ,,80378,," 302,794 ",,0.0
City of Pasadena,Pasadena,CA,,99424,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 12,150,996 ",  31 ,MB,PT,19,,0,,  10.61 ,,  1.78 ,,  24.34 ,," 673,385 ",," 708,993 ",,672330,," 36,663 ",," 65,545 ",,63393,," 2,152 ",, 0 ,, 0 ,, 0 ,, 0 ,,1542871,," 2,749,102 ",,85.0
"City of Norwalk , dba: Norwalk Transit System ",Norwalk,CA,9022,90022,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 12,150,996 ",  29 ,DR,PT,5,,0,,  7.54 ,,  3.41 ,,  3.49 ,, 0 ,," 67,629 ",,48238,," 19,391 ",," 8,246 ",,6401,," 1,845 ",, 0 ,, 0 ,, 0 ,, 0 ,,22344,," 76,091 ",,0.0
Stanislaus County dba: Stanislaus Regional Transit,Modesto,CA,9236,90236,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 358,172 ",  29 ,CB,PT,1,,0,,  31.50 ,,  -   ,,  4.53 ,, 0 ,, 0 ,,37234,, 0 ,, 0 ,,1182,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,5350,, 0 ,,0.0
Stanislaus County dba: Stanislaus Regional Transit,Modesto,CA,9236,90236,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 358,172 ",  29 ,MB,PT,16,,0,,  18.85 ,,  -   ,,  6.94 ,, 0 ,, 0 ,,826866,, 0 ,, 0 ,,43866,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,304585,, 0 ,,0.0
"City of Norwalk , dba: Norwalk Transit System ",Norwalk,CA,9022,90022,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 12,150,996 ",  29 ,MB,DO,24,,0,,  11.11 ,,  4.20 ,,  15.42 ,," 1,053,409 ",," 1,087,204 ",,1052553,," 34,651 ",," 97,035 ",,94736,," 2,299 ",, 0 ,, 0 ,, 0 ,, 0 ,,1461068,," 6,132,234 ",,151.0
Stanislaus County dba: Stanislaus Regional Transit,Modesto,CA,9236,90236,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 358,172 ",  29 ,DR,PT,12,,0,,  13.04 ,,  -   ,,  2.04 ,, 0 ,, 0 ,,272739,, 0 ,, 0 ,,20909,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,42755,, 0 ,,0.0
"City of Claremont, dba: Claremont Dial-a-Ride",La Verne,CA,9296,90296,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 12,150,996 ",  28 ,DR,PT,7,,0,,  10.34 ,,  -   ,,  11.91 ,, 0 ,, 0 ,,11277,, 0 ,, 0 ,,1091,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,12997,, 0 ,,0.0
Redding Area Bus Authority,Redding,CA,9093,90093,Independent Public Agency or Authority of Transit Service,Full Reporter," 117,731 ",  28 ,MB,PT,15,,0,,  16.53 ,,  7.18 ,,  15.19 ,," 724,332 ",," 753,263 ",,724332,," 28,931 ",," 46,336 ",,43830,," 2,506 ",, 0 ,, 0 ,, 0 ,, 0 ,,665600,," 4,777,496 ",,158.0
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,9165,90165,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 214,811 ",  28 ,MB,PT,10,,0,,  15.20 ,,  -   ,,  6.58 ,, 0 ,, 0 ,,368294,, 0 ,, 0 ,,24237,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,159398,, 0 ,,0.0
Redding Area Bus Authority,Redding,CA,9093,90093,Independent Public Agency or Authority of Transit Service,Full Reporter," 117,731 ",  28 ,DR,PT,13,,0,,  18.13 ,,  8.92 ,,  3.25 ,, 0 ,," 326,620 ",,294282,," 32,338 ",," 18,841 ",,16232,," 2,609 ",, 0 ,, 0 ,, 0 ,, 0 ,,52821,," 471,113 ",,0.0
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,9165,90165,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 214,811 ",  28 ,DR,PT,18,,0,,  16.67 ,,  -   ,,  2.21 ,, 0 ,, 0 ,,680890,, 0 ,, 0 ,,40850,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,90442,, 0 ,,0.0
Imperial County Transportation Commission,El Centro,CA,9226,90226,Independent Public Agency or Authority of Transit Service,Full Reporter," 107,672 ",  28 ,MB,PT,18,,0,,  20.08 ,,  9.91 ,,  17.61 ,," 879,994 ",," 1,031,158 ",,883747,," 147,411 ",," 54,136 ",,44004,," 10,132 ",, 0 ,, 0 ,, 0 ,, 0 ,,774947,," 7,679,725 ",,554.0
"City of Claremont, dba: Claremont Dial-a-Ride",La Verne,CA,9296,90296,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 12,150,996 ",  28 ,DT,PT,21,,0,,  16.45 ,,  -   ,,  8.02 ,, 0 ,, 0 ,,38681,, 0 ,, 0 ,,2351,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,18865,, 0 ,,0.0
Imperial County Transportation Commission,El Centro,CA,9226,90226,Independent Public Agency or Authority of Transit Service,Full Reporter," 107,672 ",  28 ,DR,PT,10,,0,,  22.67 ,,  30.62 ,,  2.10 ,, 0 ,," 452,910 ",,405185,," 47,725 ",," 25,254 ",,17876,," 7,378 ",, 0 ,, 0 ,, 0 ,, 0 ,,37585,," 1,150,676 ",,0.0
City of Riverside,Riverside,CA,9086,90086,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,932,666 ",  27 ,DR,DO,27,,0,,  13.53 ,,  7.63 ,,  3.38 ,, 0 ,," 697,437 ",,615113,," 82,324 ",," 61,827 ",,45473,," 16,354 ",, 0 ,, 0 ,, 0 ,, 0 ,,153559,," 1,171,169 ",,0.0
Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula,CA,,90287,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 12,150,996 ",  27 ,MB,PT,21,,0,,  14.95 ,,  -   ,,  8.71 ,, 0 ,, 0 ,,270529,, 0 ,, 0 ,,18091,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,157543,, 0 ,,0.0
Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula,CA,,90287,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 12,150,996 ",  27 ,DT,PT,6,,0,,  18.80 ,,  -   ,,  4.88 ,, 0 ,, 0 ,,17937,, 0 ,, 0 ,,954,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,4656,, 0 ,,0.0
Lake Transit Authority,Visalia,CA,9R02-001,9R02-91053,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  26 ,MB,PT,20,,0,,  23.77 ,,  -   ,,  8.95 ,, 0 ,, 0 ,,823845,, 0 ,, 0 ,,34655,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,310328,, 0 ,,0.0
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,9087,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 130,447 ",  26 ,MB,PT,20,,0,,  14.86 ,,  3.85 ,,  11.97 ,," 851,022 ",," 928,304 ",,850680,," 77,624 ",," 61,258 ",,57262,," 3,996 ",, 0 ,, 0 ,, 0 ,, 0 ,,685563,," 2,636,677 ",,221.9
Lake Transit Authority,Visalia,CA,9R02-001,9R02-91053,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  26 ,DR,PT,6,,0,,  8.59 ,,  -   ,,  1.83 ,, 0 ,, 0 ,,41082,, 0 ,, 0 ,,4783,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,8753,, 0 ,,0.0
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,9087,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 130,447 ",  26 ,DR,PT,6,,0,,  15.22 ,,  7.21 ,,  3.13 ,, 0 ,," 142,701 ",,127312,," 15,389 ",," 9,485 ",,8367,," 1,118 ",, 0 ,, 0 ,, 0 ,, 0 ,,26211,," 189,110 ",,0.0
Easy Lift Transportation,Goleta,CA,9243,90243,Private-Non-Profit Corporation,Reduced Reporter," 195,861 ",  25 ,DR,DO,25,,0,,  19.90 ,,  -   ,,  2.63 ,, 0 ,, 0 ,,542221,, 0 ,, 0 ,,27248,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,71579,, 0 ,,0.0
"City of Roseville, dba: Roseville Transit",Roseville,CA,9168,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 1,723,634 ",  24 ,DR,PT,6,,0,,  11.84 ,,  -   ,,  2.43 ,, 0 ,, 0 ,,140367,, 0 ,, 0 ,,11855,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,28783,, 0 ,,0.0
Tulare County Area Transit,Visalia,CA,9R02-008,9R02-91055,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  24 ,MB,PT,19,,0,,  28.35 ,,  -   ,,  8.73 ,, 0 ,, 0 ,,939879,, 0 ,, 0 ,,33152,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,289574,, 0 ,,0.0
"City of Roseville, dba: Roseville Transit",Roseville,CA,9168,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 1,723,634 ",  24 ,CB,PT,8,,0,,  22.14 ,,  -   ,,  20.67 ,, 0 ,, 0 ,,144564,, 0 ,, 0 ,,6530,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,134953,, 0 ,,0.0
Tulare County Area Transit,Visalia,CA,9R02-008,9R02-91055,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  24 ,DR,PT,5,,0,,  15.75 ,,  -   ,,  1.72 ,, 0 ,, 0 ,,70199,, 0 ,, 0 ,,4456,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,7669,, 0 ,,0.0
"City of Roseville, dba: Roseville Transit",Roseville,CA,9168,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 1,723,634 ",  24 ,MB,PT,10,,0,,  13.50 ,,  -   ,,  5.80 ,, 0 ,, 0 ,,434982,, 0 ,, 0 ,,32217,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,186909,, 0 ,,0.0
Mendocino Transit Authority,Ukiah,CA,9R02-047,9R02-91047,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  23 ,MB,DO,17,,0,,  16.74 ,,  -   ,,  7.24 ,, 0 ,, 0 ,,653212,, 0 ,, 0 ,,39022,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,282669,, 0 ,,0.0
"City of Lompoc, dba: City of Lompoc - Lompoc Transit",Lompoc,CA,9149,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 51,509 ",  23 ,CB,PT,13,,0,,  41.39 ,,  -   ,,  18.12 ,, 0 ,, 0 ,,191634,, 0 ,, 0 ,,4630,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,83913,, 0 ,,0.0
"City of Laguna Beach, dba: Laguna Beach Transit",Laguna Beach,CA,9119,90119,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 583,681 ",  23 ,MB,DO,23,,0,,  8.60 ,,  2.22 ,,  20.38 ,," 355,675 ",," 369,102 ",,355543,," 13,559 ",," 43,271 ",,41320,," 1,951 ",, 0 ,, 0 ,, 0 ,, 0 ,,841985,," 1,871,078 ",,40.0
Mendocino Transit Authority,Ukiah,CA,9R02-047,9R02-91047,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  23 ,DR,DO,6,,0,,  11.63 ,,  -   ,,  5.05 ,, 0 ,, 0 ,,105232,, 0 ,, 0 ,,9050,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,45717,, 0 ,,0.0
"City of Lompoc, dba: City of Lompoc - Lompoc Transit",Lompoc,CA,9149,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 51,509 ",  23 ,MB,PT,8,,0,,  17.09 ,,  -   ,,  6.23 ,, 0 ,, 0 ,,218890,, 0 ,, 0 ,,12809,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,79812,, 0 ,,0.0
"City of Lompoc, dba: City of Lompoc - Lompoc Transit",Lompoc,CA,9149,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 51,509 ",  23 ,DR,PT,2,,0,,  8.39 ,,  -   ,,  2.09 ,, 0 ,, 0 ,,35608,, 0 ,, 0 ,,4244,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,8863,, 0 ,,0.0
Kings County Area Public Transit Agency,Hanford,CA,9200,90200,Independent Public Agency or Authority of Transit Service,Full Reporter," 87,941 ",  21 ,MB,PT,16,,0,,  16.00 ,,  6.38 ,,  14.76 ,," 765,898 ",," 780,257 ",,764241,," 16,016 ",," 48,755 ",,47771,, 984 ,, 0 ,, 0 ,, 0 ,, 0 ,,704929,," 4,494,587 ",,482.1
